feature_pair,correlation_value,strength,interpretation
job_id & company_id,-0.0092,Weak,Negative
job_id & max_salary,0.0242,Weak,Positive
job_id & med_salary,-0.0559,Weak,Negative
job_id & min_salary,0.0202,Weak,Positive
job_id & applies,-0.0254,Weak,Negative
job_id & original_listed_time,0.3303,Weak,Positive
job_id & views,-0.0444,Weak,Negative
job_id & expiry,0.1911,Weak,Positive
job_id & closed_time,0.4826,Moderate,Positive
job_id & listed_time,0.3341,Weak,Positive
job_id & sponsored,-0.0285,Weak,Negative
job_id & scraped,0.3344,Weak,Positive
job_id & job_description_token_count,0.0287,Weak,Positive
job_id & skills_description_token_count,0.0024,Weak,Positive
company_id & max_salary,0.041,Weak,Positive
company_id & med_salary,0.0536,Weak,Positive
company_id & min_salary,0.0347,Weak,Positive
company_id & applies,0.0494,Weak,Positive
company_id & original_listed_time,0.0314,Weak,Positive
company_id & views,0.0682,Weak,Positive
company_id & expiry,0.1467,Weak,Positive
company_id & closed_time,0.1165,Weak,Positive
company_id & listed_time,0.0236,Weak,Positive
company_id & sponsored,-0.0063,Weak,Negative
company_id & scraped,0.0245,Weak,Positive
company_id & job_description_token_count,-0.128,Weak,Negative
company_id & skills_description_token_count,-0.0106,Weak,Negative
max_salary & min_salary,0.9225,Strong,Positive
max_salary & applies,0.0419,Weak,Positive
max_salary & original_listed_time,0.0095,Weak,Positive
max_salary & views,0.0993,Weak,Positive
max_salary & expiry,-0.004,Weak,Negative
max_salary & closed_time,0.0433,Weak,Positive
max_salary & listed_time,0.0183,Weak,Positive
max_salary & sponsored,-0.0163,Weak,Negative
max_salary & scraped,0.0181,Weak,Positive
max_salary & job_description_token_count,0.1747,Weak,Positive
max_salary & skills_description_token_count,-0.0181,Weak,Negative
med_salary & applies,0.0283,Weak,Positive
med_salary & original_listed_time,-0.0977,Weak,Negative
med_salary & views,0.0976,Weak,Positive
med_salary & expiry,-0.0439,Weak,Negative
med_salary & closed_time,-0.1265,Weak,Negative
med_salary & listed_time,-0.1019,Weak,Negative
med_salary & sponsored,0.0685,Weak,Positive
med_salary & scraped,-0.1004,Weak,Negative
med_salary & job_description_token_count,-0.0029,Weak,Negative
med_salary & skills_description_token_count,0.004,Weak,Positive
min_salary & applies,0.0551,Weak,Positive
min_salary & original_listed_time,-0.0001,Weak,Negative
min_salary & views,0.1172,Weak,Positive
min_salary & expiry,0.0056,Weak,Positive
min_salary & closed_time,0.0349,Weak,Positive
min_salary & listed_time,0.0046,Weak,Positive
min_salary & sponsored,0.0139,Weak,Positive
min_salary & scraped,0.005,Weak,Positive
min_salary & job_description_token_count,0.1353,Weak,Positive
min_salary & skills_description_token_count,-0.0153,Weak,Negative
applies & original_listed_time,-0.0839,Weak,Negative
applies & views,0.8815,Strong,Positive
applies & expiry,0.0068,Weak,Positive
applies & listed_time,-0.0894,Weak,Negative
applies & sponsored,0.0177,Weak,Positive
applies & scraped,-0.0862,Weak,Negative
applies & job_description_token_count,-0.0279,Weak,Negative
applies & skills_description_token_count,-0.0044,Weak,Negative
original_listed_time & views,-0.1315,Weak,Negative
original_listed_time & expiry,0.6749,Moderate,Positive
original_listed_time & closed_time,0.9889,Strong,Positive
original_listed_time & listed_time,0.9879,Strong,Positive
original_listed_time & sponsored,-0.0965,Weak,Negative
original_listed_time & scraped,0.9878,Strong,Positive
original_listed_time & job_description_token_count,-0.0067,Weak,Negative
original_listed_time & skills_description_token_count,0.0028,Weak,Positive
views & expiry,0.0078,Weak,Positive
views & closed_time,-0.1071,Weak,Negative
views & listed_time,-0.137,Weak,Negative
views & sponsored,0.0529,Weak,Positive
views & scraped,-0.1324,Weak,Negative
views & job_description_token_count,0.0016,Weak,Positive
views & skills_description_token_count,-0.0102,Weak,Negative
expiry & closed_time,0.5869,Moderate,Positive
expiry & listed_time,0.6754,Moderate,Positive
expiry & sponsored,0.1104,Weak,Positive
expiry & scraped,0.679,Moderate,Positive
expiry & job_description_token_count,-0.062,Weak,Negative
expiry & skills_description_token_count,-0.0126,Weak,Negative
closed_time & listed_time,0.9999,Strong,Positive
closed_time & sponsored,-0.0555,Weak,Negative
closed_time & scraped,1.0,Strong,Positive
closed_time & job_description_token_count,0.0673,Weak,Positive
closed_time & skills_description_token_count,0.0263,Weak,Positive
listed_time & sponsored,-0.1034,Weak,Negative
listed_time & scraped,0.9997,Strong,Positive
listed_time & job_description_token_count,0.0104,Weak,Positive
listed_time & skills_description_token_count,0.0004,Weak,Positive
sponsored & scraped,-0.1004,Weak,Negative
sponsored & job_description_token_count,-0.0126,Weak,Negative
sponsored & skills_description_token_count,-0.0012,Weak,Negative
scraped & job_description_token_count,0.0093,Weak,Positive
scraped & skills_description_token_count,0.0008,Weak,Positive
job_description_token_count & skills_description_token_count,-0.0426,Weak,Negative
